"Electricity generation, Australia, 2022",Value,Year,Units
"Coal",133591,2022,GWh
"Oil",4664,2022,GWh
"Natural gas",49280,2022,GWh
"Biofuels",3190,2022,GWh
"Hydro",17010,2022,GWh
"Solar PV",34682,2022,GWh
"Solar thermal",3,2022,GWh
"Wind",29107,2022,GWh
